,Age
987,Adult
988,Adult
989,Adult
990,Adult
991,Adult
992,Adult
993,Adult
994,Adult
995,Adult
996,Adult
997,Adult
998,Adult
999,Adult
1000,Adult
1001,Adult
1002,Adult
1003,Adult
1004,Adult
1005,Adult
1006,Adult
1007,Adult
1008,Adult
1009,Adult
1010,Adult
1011,Adult
1012,Adult
1013,Adult
1014,Adult
1015,Adult
1016,Adult
1017,Adult
1018,Adult
1019,Adult
1020,Adult
1021,Adult
1022,Adult
1023,Adult
1024,Adult
1025,Adult
1026,Adult
1027,Adult
1028,Adult
1029,Adult
1030,Adult
1031,Adult
1032,Adult
1033,Adult
1034,Adult
1035,Adult
1036,Adult
1037,Adult
1038,Adult
1039,Adult
1040,Adult
1041,Adult
1042,Adult
1043,Adult
1044,Adult
1045,Adult
1046,Adult
1047,Adult
1048,Adult
1049,Adult
1050,Adult
1051,Adult
1052,Adult
1053,Adult
1054,Adult
1055,Adult
1056,Adult
1057,Adult
1058,Adult
1059,Adult
1060,Adult
1061,Adult
1062,Adult
1063,Adult
1064,Adult
1065,Adult
1066,Adult
1067,Adult
1068,Adult
1069,Adult
1070,Adult
1071,Adult
1072,Adult
1073,Adult
1074,Adult
1075,Adult
1076,Adult
1077,Adult
1078,Adult
1079,Adult
1080,Adult
1081,Adult
1082,Adult
1083,Adult
1084,Adult
1085,Adult
1086,Adult
1087,Adult
1088,Adult
1089,Adult
1090,Adult
1091,Adult
1092,Adult
1093,Adult
1094,Adult
1095,Adult
1096,Adult
1097,Adult
1098,Adult
1099,Adult
1100,Adult
1101,Adult
1102,Adult
1103,Adult
1104,Adult
1105,Adult
1106,Adult
1107,Adult
1108,Adult
1109,Adult
1110,Adult
1111,Adult
1112,Adult
1113,Adult
1114,Adult
1115,Adult
1116,Adult
1117,Adult
1118,Adult
1119,Adult
1120,Adult
1121,Adult
1122,Adult
1123,Adult
1124,Adult
1125,Adult
1126,Adult
1127,Adult
1128,Adult
1129,Adult
1130,Adult
1131,Adult
1132,Adult
1133,Adult
1134,Adult
1135,Adult
1136,Adult
1137,Adult
1138,Adult
1139,Adult
1140,Adult
1141,Adult
1142,Adult
1143,Adult
1144,Adult
1145,Adult
1146,Adult
1147,Adult
1148,Adult
1149,Adult
1150,Adult
1151,Adult
1152,Adult
1153,Adult
1154,Adult
1155,Adult
1156,Adult
1157,Adult
1158,Adult
1159,Adult
1160,Adult
1161,Adult
1162,Adult
1163,Adult
1164,Adult
1165,Adult
1166,Adult
1167,Adult
1168,Adult
1169,Adult
1170,Adult
1171,Adult
1172,Adult
1173,Adult
1174,Adult
1175,Adult
1176,Adult
1177,Adult
1178,Adult
1179,Adult
1180,Adult
1181,Adult
1182,Adult
1183,Adult
1184,Adult
1185,Adult
1186,Adult
1187,Adult
1188,Adult
1189,Adult
1190,Adult
1191,Adult
1192,Adult
1193,Adult
1194,Adult
1195,Adult
1196,Adult
1197,Adult
1198,Adult
1199,Adult
1200,Adult
1201,Adult
1202,Adult
1203,Adult
1204,Adult
1205,Adult
1206,Adult
1207,Adult
1208,Adult
1209,Adult
1210,Adult
1211,Adult
1212,Adult
1213,Adult
1214,Adult
1215,Adult
1216,Adult
1217,Adult
1218,Adult
1219,Adult
1220,Adult
1221,Adult
1222,Adult
1223,Adult
1224,Adult
1225,Adult
1226,Adult
1227,Adult
1228,Adult
1229,Adult
1230,Adult
1231,Adult
1232,Adult
1233,Adult
1234,Adult
1235,Adult
1236,Adult
1237,Adult
1238,Adult
1239,Adult
1240,Adult
1241,Adult
1242,Adult
1243,Adult
1244,Adult
1245,Adult
1246,Adult
1247,Adult
1248,Adult
1249,Adult
1250,Adult
1251,Adult
1252,Adult
1253,Adult
1254,Adult
1255,Adult
1256,Adult
1257,Adult
1258,Adult
1259,Adult
1260,Adult
1261,Adult
1262,Adult
1263,Adult
1264,Adult
1265,Adult
1266,Adult
1267,Adult
1268,Adult
1269,Adult
1270,Adult
1271,Adult
1272,Adult
1273,Adult
1274,Adult
1275,Adult
1276,Adult
1277,Adult
1278,Adult
1279,Adult
1280,Adult
1281,Adult
1282,Adult
1283,Adult
1284,Adult
1285,Adult
1286,Adult
1287,Adult
1288,Adult
1289,Adult
1290,Adult
1291,Adult
1292,Adult
1293,Adult
1294,Adult
1295,Adult
1296,Adult
1297,Adult
1298,Adult
1299,Adult
1300,Adult
1301,Adult
1302,Adult
1303,Adult
1304,Adult
1305,Adult
1306,Adult
1307,Adult
1308,Adult
1309,Adult
1310,Adult
1311,Adult
1312,Adult
1313,Adult
1314,Adult
1315,Adult
1316,Adult
1317,Adult
1318,Adult
1319,Adult
1320,Adult
1321,Adult
1322,Adult
1323,Adult
1324,Adult
1325,Adult
1326,Adult
1327,Adult
1328,Adult
1329,Adult
1330,Adult
1331,Adult
1332,Adult
1333,Adult
1334,Adult
1335,Adult
1336,Adult
1337,Adult
1338,Adult
1339,Adult
1340,Adult
1341,Adult
1342,Adult
